Part,Color,Quantity,Is Spare
78258,0,2,False
87994,0,2,False
30374,0,1,False
63965,0,2,False
59900,0,1,False
6134,0,4,False
24122,0,1,False
3024,0,4,False
3386,0,4,False
91405,0,1,False
3030,0,3,False
3031,0,1,False
3035,0,1,False
3033,0,11,False
3958,0,2,False
6141,0,2,False
30357,0,2,False
77850,0,1,False
41740,0,2,False
11253,0,1,False
3070b,0,4,False
2431,0,1,False
6636,0,4,False
4162pr0101,0,1,False
4162,0,13,False
20482,0,2,False
61485,0,1,False
3010,1,5,False
3666,1,2,False
2420,1,5,False
54200,212,2,False
49668,191,1,False
98138,29,1,False
28588,72,2,False
3005,72,1,False
3005pr0037,72,4,False
3004,72,1,False
3010,72,2,False
3009,72,2,False
3002,72,1,False
88292,72,1,False
59900,72,15,False
85975,72,1,False
3942c,72,10,False
6233,72,1,False
38317,72,2,False
89522,72,17,False
4740,72,1,False
3937,72,4,False
3024,72,8,False
3022,72,3,False
3031,72,1,False
85861,72,3,False
6141,72,2,False
60897,72,1,False
35480,72,1,False
15573,72,2,False
34103,72,5,False
87580,72,1,False
18674,72,1,False
54200,72,2,False
85984,72,3,False
3049d,72,2,False
3044c,72,45,False
15672,72,3,False
28192,72,2,False
3040b,72,14,False
35464,72,4,False
89678,72,3,False
32530,72,1,False
2431,72,3,False
6636,72,4,False
99563,72,2,False
65886,72,2,False
24482,72,6,False
43711,72,1,False
6141,308,4,False
33909,308,1,False
30115,288,1,False
6254,288,4,False
2423,484,1,False
6141,484,2,False
4070a,320,1,False
85861,320,2,False
35480,320,1,False
15573,320,1,False
14716,28,1,False
4070a,28,8,False
52107,28,1,False
3024,28,6,False
3023,28,20,False
3623,28,5,False
3710,28,1,False
3666,28,4,False
3022,28,8,False
2420,28,3,False
3021,28,3,False
3020,28,2,False
3795,28,1,False
85861,28,1,False
6141,28,8,False
4032a,28,7,False
60474,28,2,False
35480,28,6,False
15573,28,14,False
32028,28,1,False
77850,28,3,False
34103,28,5,False
41740,28,1,False
33909,28,6,False
61409,28,14,False
54200,28,1,False
15672,28,1,False
3070b,28,27,False
3069b,28,24,False
63864,28,1,False
2431,28,1,False
6636,28,2,False
14719,28,3,False
27925,28,5,False
25269,28,4,False
20482,28,2,False
26601,28,2,False
2450,28,1,False
78443,28,1,False
96874,3,1,False
2357,2,1,False
3623,2,4,False
3021,2,2,False
3795,2,2,False
3665,2,7,False
30374,71,7,False
79389,71,5,False
73825,71,3,False
3005,71,23,False
6111,71,2,False
6112,71,1,False
3004,71,20,False
3245c,71,1,False
22886,71,2,False
3622,71,12,False
3010,71,9,False
3009,71,2,False
3008,71,1,False
3003,71,11,False
2357,71,14,False
3002,71,8,False
3001,71,7,False
2456,71,1,False
3007,71,1,False
4490,71,1,False
14395,71,1,False
92950,71,1,False
32952,71,1,False
52107,71,6,False
22885,71,2,False
59900,71,1,False
21269,71,1,False
28621pr4128,71,1,False
10052,71,1,False
60581,71,3,False
3024,71,18,False
3386,71,3,False
4477,71,3,False
3023,71,46,False
3623,71,18,False
3710,71,10,False
78329,71,1,False
3666,71,3,False
3460,71,2,False
3022,71,3,False
2420,71,8,False
3021,71,11,False
3020,71,2,False
3795,71,3,False
11212,71,1,False
3030,71,1,False
3031,71,2,False
3032,71,6,False
3035,71,2,False
3033,71,1,False
3958,71,1,False
1745,71,1,False
15573,71,4,False
34103,71,2,False
87580,71,1,False
4304,71,1,False
54200,71,5,False
85984,71,2,False
4286,71,15,False
22388,71,3,False
15571,71,2,False
15672,71,13,False
28192,71,1,False
3040b,71,46,False
3039,71,2,False
3045,71,1,False
3038,71,2,False
60481,71,40,False
3678b,71,5,False
4460b,71,11,False
4287c,71,2,False
3747b,71,2,False
3665,71,12,False
76959,71,13,False
2449,71,1,False
61184,71,1,False
3070b,71,6,False
3069b,71,9,False
63864,71,3,False
2431,71,2,False
6636,71,2,False
14719,71,4,False
27925,71,1,False
98138,71,1,False
24246,71,21,False
25269,71,12,False
15712,71,3,False
27263,71,1,False
3396,71,2,False
87620,71,1,False
6564,71,1,False
26601,71,5,False
24299,71,12,False
24307,71,4,False
65429,71,1,False
43723,71,5,False
43722,71,6,False
3005,27,17,False
3023,27,23,False
3009,26,1,False
3666,26,1,False
3009,322,4,False
3003,322,3,False
2456,322,1,False
3710,322,2,False
3460,322,2,False
3021,322,2,False
3032,322,1,False
60474,322,1,False
3023,73,1,False
15573,73,1,False
65578,84,4,False
6141,84,7,False
3005,326,1,False
3004,326,5,False
3024,326,9,False
3023,326,10,False
3623,326,12,False
3710,326,7,False
3666,326,1,False
3460,326,1,False
3022,326,2,False
3020,326,7,False
6141,326,11,False
4032a,326,1,False
34103,326,8,False
87580,326,15,False
54200,326,23,False
4286,326,1,False
3040b,326,13,False
60481,326,2,False
11477,326,10,False
3069b,326,11,False
63864,326,1,False
27925,326,7,False
25269,326,14,False
26601,326,1,False
3484,25,3,False
3005,25,3,False
3004,25,16,False
6141,25,6,False
3484,297,1,False
73117,297,1,False
59900,297,1,False
17349pr0208,297,1,False
36036pr0075,297,1,False
28621pr4129,297,1,False
3177,297,1,False
24866,297,4,False
26047,297,3,False
15070,297,1,False
48336,297,1,False
15573,297,1,False
88646,297,1,False
18654,297,1,False
20482,297,4,False
15712,297,2,False
99563,297,1,False
973c21h21pr6791,297,1,False
66909,297,1,False
6111,4,2,False
3622,4,2,False
4477,4,2,False
3710,4,5,False
3021,4,1,False
6141,4,4,False
53451,70,2,False
98313,70,1,False
3484,70,1,False
73825,70,2,False
3010,70,1,False
13965,70,1,False
78666,70,1,False
3062b,70,1,False
4733,70,1,False
87087,70,1,False
47905,70,2,False
52107,70,1,False
24855,70,2,False
3024,70,3,False
3023,70,1,False
3710,70,2,False
3666,70,1,False
2420,70,2,False
3021,70,1,False
3795,70,1,False
6141,70,1,False
26047,70,2,False
54200,70,2,False
15672,70,1,False
24201,70,1,False
13547,70,1,False
76959,70,1,False
3070b,70,2,False
98138,70,1,False
2412b,70,1,False
6141,378,3,False
30385,378,6,False
3957b,19,2,False
78258,19,1,False
87994,19,5,False
30374,19,12,False
36841,19,1,False
36840,19,17,False
79389,19,3,False
73825,19,3,False
99781,19,1,False
99780,19,1,False
44728,19,1,False
99207,19,7,False
41682,19,2,False
3005,19,19,False
3005pr0038,19,20,False
6112,19,1,False
3004,19,4,False
3245c,19,2,False
22886,19,1,False
3622,19,2,False
3010,19,2,False
3009,19,2,False
3008,19,2,False
3003,19,6,False
2357,19,2,False
3002,19,4,False
2456,19,2,False
4490,19,7,False
13965,19,1,False
37352,19,10,False
3062b,19,27,False
3941,19,20,False
17485,19,1,False
87081,19,2,False
85080,19,12,False
68013,19,5,False
60475b,19,1,False
4070a,19,30,False
87087,19,2,False
26604,19,4,False
47905,19,1,False
32952,19,8,False
30136,19,9,False
11211,19,1,False
4216,19,2,False
98283,19,9,False
22885,19,1,False
15533,19,5,False
90258,19,5,False
38585,19,6,False
38583,19,5,False
59900,19,3,False
30162,19,1,False
37762,19,7,False
3626c,19,1,False
6231,19,2,False
15207,19,1,False
3024,19,41,False
3023,19,40,False
3623,19,11,False
3710,19,10,False
78329,19,1,False
3666,19,7,False
3460,19,4,False
3022,19,16,False
2420,19,6,False
3021,19,9,False
3020,19,10,False
3795,19,7,False
3034,19,4,False
11212,19,4,False
3031,19,3,False
3032,19,4,False
3033,19,1,False
85861,19,11,False
6141,19,63,False
4032a,19,2,False
30357,19,1,False
60897,19,23,False
49668,19,1,False
35480,19,2,False
48336,19,2,False
15573,19,43,False
63868,19,1,False
32028,19,4,False
34103,19,4,False
41740,19,7,False
33909,19,2,False
4304,19,1,False
6179,19,1,False
54200,19,10,False
85984,19,1,False
3044c,19,1,False
15672,19,8,False
35464,19,9,False
3660,19,1,False
6541,19,2,False
3700,19,1,False
32064a,19,9,False
18654,19,1,False
3070b,19,16,False
3069bpr0392,19,10,False
3069bpr0391,19,3,False
3069b,19,34,False
63864,19,6,False
2431,19,5,False
6636,19,1,False
4162,19,1,False
3068b,19,4,False
26603,19,2,False
24246,19,2,False
25269,19,3,False
1748,19,2,False
2412b,19,36,False
35459,19,9,False
22385,19,1,False
22385pr0146,19,1,False
22385pr0145,19,1,False
87620,19,1,False
26601,19,3,False
3065,1053,3,False
42445,47,1,False
30367c,47,1,False
4070a,47,1,False
3024,47,10,False
3023,47,27,False
54200,47,35,False
3040b,47,5,False
3069b,33,51,False
2431,33,8,False
3070b,41,10,False
3069b,41,85,False
2431,41,11,False
37775,182,1,False
64847,15,2,False
36840,15,8,False
99780,15,1,False
2465,15,1,False
3002,15,3,False
3001,15,2,False
14395,15,1,False
4733,15,2,False
52107,15,1,False
32607,15,2,False
3024,15,9,False
3023,15,7,False
3623,15,3,False
3710,15,2,False
3666,15,1,False
6141,15,2,False
4032a,15,1,False
30357,15,1,False
34103,15,11,False
3070b,15,5,False
20482,15,2,False
14769,15,1,False
15712,15,1,False
3622,14,6,False
3623,14,3,False
6141,14,17,False
3176,14,1,False
