,75c16,1,wie 85532,,,,,,,,,,,
,75c20,6,wie 60677,,,,,,,,,,,
,650,4,,,,,,,,,,,,
,702,4,,,,,,,,,,,,
,753,2,,,,,,,,,,,,
,772,26,wie 3245,,,,,,,,1,1,4,1
,962,4,,,,,,,,,,,,
,2339,30,wie 14395 und 76768,,,,,,,,,10,,3
,2341,8,wie 18759,,,,,,,,,,,
,2356,1,,,,,,,,,,,,
,2357,62,,,14,,,4,,,,,,
,2376,2,wie 74698,,,,,,,,,,,
,2377,2,wie 60032,,,,,,,,,,,
,2412,692,,,54,,,,,17,,,,
,2419,21,,,,,,,,,,1,,
,2420,303,,,89,18,25,26,,2,13,16,41,14
,2429,13,Teil von 73983, wie 19952,,,,,,,,,1,,
,2430,13,Teil von 73983, wie 19953,,,,,,,,,1,,
,2431,254,,,3,,,2,,22,,13,33,17
,2432,17,,,,,,,,1,4,,,
,2436,39,wie 10201 und 28802,,,,,,,1,16,5,,
,2444,37,wie 10247,,,,,,,,,,,
,2445,40,,,,,,9,1,,,,,
,2449,9,,,,,,,,1,,,2,2
,2450,34,,,,,,,,1,,1,,10
,2453,11,,,,,2,,,,,4,5,
,2454,43,,,,,,,,,5,10,15,
,2456,30,wie 44237,,1,,,8,,,,,,
,2458,36,wie 44865,,,,,,4,,2,5,4,6
,2460,16,,,,,,4,,1,,,,
,2462,12,,,,,,,,,,2,,1
,2465,11,,,1,,,,2,,,,,
,2476,23,,,,,,,,,,,,
,2540,77,,,2,,,,,,,,,
,2555,227,wie 15712 und 12825,,3,,,,,,4,1,,2
,2566,4,,,,,,,,,,,,
,2639,10,,,,,,,,,,,,
,2653,8,,,4,,,,,,,,,
,2654,78,,,2,,,15,,,1,,,
,2723,3,,,,,1,,,,,,,
,2730,9,,,6,,,,,,,,,
,2736,8,,,,,,,,,,1,1,3
,2780,575,wie 61332 und 4459, ähnlich zu 3673,,128,,,21,27,5,3,,86,83
,2817,23,,,,,,,,,6,,,
,2819,1,,,,,,,,,,,,
,2825,10,,,,,,,,,,,,
,2852,1,,,,,,,,,,,,
,2853,8,,,,,,,,,,,,
,2877,100,,,,,,,,,1,7,,28
,2905,2,,,,,,,,,,,,
,2921,70,wie 28917,,4,,,,,,,2,,
,2926,6,,,,,,,,,,3,1,
,3001,414,2 Tüten,,49,,,12,,,,,,
,3002,171,,,2,,,9,,,,,,
,3003,296,,,27,,,22,,1,,,,
,3004,569,,,93,,,16,,,2,,,2
,3005,640,,,37,,,23,,,,,,23
,3006,12,wie 92538,,,,,,,,,,,
,3007,30,,,1,,,8,,,,,,
,3008,138,,,17,,,8,2,,,,,
,3009,232,,,30,,,14,,,,,,
,3010,317,,,60,,,27,2,,,,,
,3020,358,,,91,,,58,,,6,,,
,3021,373,,,7,,,92,,,6,,,
,3022,267,,,93,,,62,,,3,3,,
,3023,765,,,141,,,214,,5,297,13,26,43
,3024,743,,,176,,,171,,21,4,110,45,54
,3027,9,,,,,,,,,,,,
,3028,7,,,2,3,,,,,,,,
,3029,15,,,1,,,,,,,,,
,3030,17,,,7,,,2,,,,,,
,3031,51,,,,,,1,,,2,,,
,3032,52,,,1,,,5,,,,,,
,3033,17,,,8,,,4,,,,,,
,3034,93,,,12,,,5,,,3,,,
,3035,66,,,12,,,2,,,,,,
,3036,18,,,2,,,,,,,,,
,3037,183,,,,,,,,,,,,
,3038,36,,,,,,,,,,,,
,3039,233,,,6,,,,,,1,,,25
,3040,158,,,21,,,2,,1,11,2,,19
,3041,22,,,,,,,,,,,,
,3042,2,,,,,,,,,,,,
,3043,16,,,,,,,,,,,,
,3044,8,,,,,,,,,,1,,
,3045,29,,,,,,,,,,,,
,3046,43,,,,,,,,,,,,
,3048,22,,,,,,,,,1,,1,
,3049,8,,,,,,,,,,,,
,3062,163,,,14,,,4,,1,,,,1
,3063,46,ähnlich zu 85080,,,,,,,,,1,,
,3068,251,,,5,,,3,,12,24,23,5,38
,3069,585,,,53,,,29,,38,72,14,4,18
,3070,432,,,4,,,10,,25,17,5,1,38
,3149,3,,,,,,,,,,,,
,3176,105,,,,,10,10,,10,,16,24,21
,3183,7,,,,,,,,,,,,
,3184,4,,,,,,,,,,,,
,3185,51,,,,,,,,,,,,
,3188,1,,,,,,,,,,,,
,3190,2,,,,,,,,,,,,
,3191,2,,,,,,,,,,,,
,3192,3,,,,,,,,,,,,
,3193,3,,,,,,,,,,,,
,3245,26,wie 772,,,,,,,,1,1,4,1
,3297,17,,,,,,,,,,,,
,3298,26,,,,,,,,1,1,,,
,3299,7,,,,,,,,,,,,
,3300,2,,,,,,,,,,,,
,3307,11,wie 15254 und 12939,,,,,,,,,2,,6
,3308,8,wie 16577,,,,,,,,,2,,
,3315,2,,,,,,,,,,,,
,3324,1,,,,,,,,,,,,
,3404,14,,,,,,,,,,,,7
,3455,35,wie 92950,,,,,,,5,,7,10,1
,3456,5,,,,,,,,,,,,
,3460,120,,,11,,,11,,,1,,,
,3579,1,,,,,,,,,,,,
,3597,1,,,,,,,,,,,,
,3622,143,,,17,,,15,,,,,,
,3623,468,,,9,,,105,,1,24,8,98,45
,3633,43,,,,,,,,,,,,
,3647,13,,,,,,,,,,,,
,3651,8,,,,,,,,,,,,
,3659,52,,,,,,,,2,,11,27,7
,3660,116,,,11,,,,,2,10,,,
,3665,208,,,,,,7,,6,74,,,17
,3666,327,,,84,,,24,,,,5,2,
,3673,69,ähnlich zu 2780, 4459 und 61332,,12,,,,,,,,1,16
,3675,4,,,,,,,,,,,,
,3676,10,,,,,,,,,,,,
,3678,3,,,,2,,,,1,,,,
,3679,13,in 3680,,,,,,,,,,,
,3680,13,mit 3679,,,,,,,,,,,
,3684,39,wie 98560,,,,,,,,,,,
,3685,26,,,,,,,,,,,,
,3700,82,,,3,,,1,,,,26,,
,3701,53,,,3,,,1,,,,,6,
,3702,18,,,,,,,,,,,,
,3703,38,,,3,,,,,,,,,
,3704,3,,,,,,,,,,,1,
,3705,23,,,3,,,,,,,,,
,3706,8,,,,,,,,,,,,
,3707,10,,,,,,,,,1,,,
,3708,4,,,,,,,,,,,,
,3709,42,,,6,,,,,,,,,
,3710,990,,,139,,,63,,,121,152,185,164
,3713,74,wie 42798,,12,,,,,1,2,,,1
,3736,1,,,,,,,,,,,,
,3737,5,,,,,,,,,,,,
,3738,6,,,2,,,,,,,,,
,3743,8,,,2,,2,,,,,,,
,3747,40,,,8,,,,,1,,,,
,3749,73,wie 6562, ähnlich zu 43093,,1,,,,,,,,,39
,3768,2,,,,,,,,,,,1,1
,3787,2,,,,,,,,,,,,
,3788,8,,,,,,,,,,,,
,3794,484,wie 15573,,45,,,19,,6,3,6,,11
,3795,165,,,6,,,56,,,8,,,
,3821,1,,,,,,,,1,,,,
,3822,2,,,,,,,,2,,,,
,3830,7,,,,,,,,,,,,
,3832,59,,,2,,,21,,,,,,
,3839,17,,,,,,,,,,,,
,3846,2,wie 90228,,,,,,,,,,,
,3849,4,,,,,,,,,,,,
,3853,17,,,,,,,,,,,,
,3854,30,,,,,,,,,,,,
,3856,4,,,,,,,,,,,,
,3894,28,,,2,,,,,,,,,
,3895,22,,,6,,,,,,,,,
,3935,2,,,,,,,,,,,,
,3936,2,,,,,,,,,,,,
,3937,29,,,5,,,,,,2,,,
,3938,22,,,,,,,,,,,,
,3940,3,wie 19798,,,,,,,,,,,
,3941,61,wie 6143,,1,,,25,,,,,,
,3942,18,wie 14918,,2,,,,,,,,,
,3956,17,,,,,,2,,,,,,
,3957,6,,,,,,,,,,,,
,3958,25,,,5,,,1,,,,,,
,3959,3,,,,,,,,,,,,
,3960,7,,,,,,,,,,,1,
,4032,108,,,,,,5,,,31,1,,
,4070,141,,,44,,,7,,,,1,,26
,4081,41,,,,,,,,1,2,,,1
,4083,4,,,,,,,,,,,,
,4085,145,wie 60897,,11,,,,,1,,1,,57
,4130,1,,,,,,,,,,,,
,4132,16,wie 60598,,,,,,,,,,,
,4133,8,,,,,,,,,,,,
,4150,21,,,1,,,,,5,,1,,1
,4162,94,,,2,,,,7,,,1,3,3
,4175,5,,,,,,,,1,,,,1
,4185,67,,,1,,,,,,,,,
,4213,2,,,,,,,,,,,,
,4216,8,,,,,,,,,,,,
,4262,1,,,,,,,,,,,1,
,4274,262,,,18,,,74,,2,6,,3,33
,4275,9,,,,,,,,1,,2,3,1
,4276,4,,,,,,,,,,,4,
,4282,34,,,9,,,1,2,,,,,
,4285,7,,,,,,,,,,,,
,4286,50,,,,,,,,6,11,,1,
,4287,32,,,2,,,,,2,9,,,
,4315,2,,,,,,,,,,,,
,4349,2,,,,,,,,,,,,
,4445,13,,,,,,,,,,,,
,4459,575,wie 61332 und 2780, ähnlich zu 3673,,128,,,21,27,5,3,,86,83
,4460,29,,,4,,,,,1,,,2,5
,4477,67,,,13,,,3,,,,,,
,4488,21,wie 67688,,,,,,,,,4,,12
,4490,17,,,,,,,,2,,4,5,2
,4510,28,,,,,,,,,,,,
,4519,75,,,4,,,1,,1,,,,20
,4588,13,,,,,,,,,,,,
,4589,202,wie 59900,,24,,,,,,3,14,,47
,4590,3,wie 18624,,,,,,,,,,,
,4595,16,,,,,,,,,,2,4,
,4596,1,,,,,,,,,,,,
,4599,129,,,1,,,,,4,,17,18,52
,4600,4,wie 67687,,,,,,,,,1,,
,4623,32,wie 88072,,2,,,,,,,,,
,4625,1,,,,,,,,,,,,
,4697,16,,,,,,,,,,,,
,4716,1,,,,,,,,,,,,
,4730,1,,,,,,,,,,1,,
,4733,49,,,6,,,2,,,,2,2,21
,4735,13,,,1,,,,,,,,,
,4740,43,,,3,,,2,,2,3,,,
,4854,2,,,,,,,,,,,,
,4859,2,wie 90194, 48183,,,,,,,,2,,,
,4863,18,wie 61345,,,,,,,,,,,
,4865,116,wie 26169,,2,,,,,9,4,25,26,11
,4871,15,,,,,,,,,,1,,
,6003,12,,,,,,,,,,,2,
,6005,26,,,,,,,,1,,5,,3
,6019,66,wie 61252,,7,,,16,,,,,2,21
,6020,1,,,,,,,,,,,,
,6060,1,,,,,,,,,,,1,
,6081,3,,,,,,,,1,,,,
,6091,101,wie 32807,,,,,8,,8,23,7,,
,6106,15,,,,,,,,,,,,
,6108,1,,,,,,,,,,,,
,6111,12,,,,,,,,,,,,
,6112,10,,,1,,,,,,,,,
,6134,22,,,2,,,,,,2,,,
,6141,668,,,202,,,8,29,31,22,3,5,58
,6143,61,wie 3941,,1,,,25,,,,,,
,6154,2,,,,,,,,,,,,
,6178,3,,,,,,1,,,,,,
,6179,70,,,,,,,,,,,,
,6180,30,,,,,,,,,,,,
,6182,10,,,,,,,,,,1,4,1
,6183,1,,,,,,,,,,,,
,6190,20,,,,,,,,,,,,
,6191,3,,,,,,,,,,,1,
,6192,4,,,,4,,,,,,,,
,6215,3,,,,,,,,2,,,,
,6222,3,,,,,,,,,,,,
,6231,41,,,,,,,,4,4,4,8,6
,6232,40,,,,,,,,,,3,,1
,6233,15,,,,,,,,,,,,
,6536,37,,,,,,,,,1,7,,
,6541,67,,,21,,,,,,,,,
,6553,6,,,,,,,,,1,,,
,6556,4,,,,,,,,,,,,
,6558,149,wie 42924, ähnlich zu 32556,,16,,,2,,,,,10,19
,6562,73,wie 3749, ähnlich zu 43093,,1,,,,,,,,,39
,6564,1,,,,,,,,,,,,
,6565,1,,,,,,,,,,,,
,6587,15,wie 13670,,2,,,,,,1,,,
,6628,24,wie 66906,,,,,,,,,1,5,4
,6629,9,,,,,,,,,,,,
,6632,27,,,,,,8,,,2,,,
,6636,139,,,1,,,1,,10,2,,3,7
,9244,1,,,,,,,,,,,,
,10197,3,,,,,,,,,,,,
,10201,39,wie 2436 und 28802,,,,,,,1,16,5,,
,10247,37,wie 2444,,,,,,,,,,,
,10314,12,,,,,6,,,5,,,,
,11090,11,,,,,,,,,4,,,
,11153,89,,,,,,4,,11,7,3,,16
,11203,16,,,,,,,,,,1,4,
,11211,42,,,,,,6,,,7,6,5,
,11212,44,,,,,,,,,,,,
,11213,8,,,,,,,,,6,,,
,11214,13,,,,8,,4,,,,,,
,11215,9,,,,,,,,,,2,,
,11458,38,,,,,,,,1,2,,,
,11476,7,,,2,,,,,,1,,,
,11477,255,,,,,,57,,22,111,15,,28
,11833,6,,,,1,,,,,,4,,
,12825,227,wie 15712 und 2555,,3,,,,,,4,1,,2
,12939,11,wie 15254 und 3307,,,,,,,,,2,,6
,13547,16,,,,2,,2,,,8,1,3,
,13670,15,wie 6587,,2,,,,,,1,,,
,13731,11,wie 85970,,,,,,,,4,,,
,13965,1,,,,,,,,,,,1,
,13971,5,,,,,,,,,,,,
,14301,4,,,,4,,,,,,,,
,14395,30,wie 76768 und 2339,,,,,,,,,10,,3
,14417,66,,,,,,,,,,11,11,43
,14418,18,,,,,,,,1,,3,10,2
,14419,21,,,,,,,,,,,17,4
,14682,1,wie 40620 und 65571,,,,,,,,,,,
,14704,60,,,,,,,,3,,7,12,37
,14716,3,,,,,,,,1,,,1,
,14718,2,,,,2,,,,,,,,
,14719,17,,,,,,,,,,,1,1
,14720,4,,,,,,,,,,,,
,14769,81,,,3,,,1,,,28,,,46
,14918,18,wie 3942,,2,,,,,,,,,
,15068,118,,,1,4,20,20,,10,2,13,,41
,15070,7,,,,,,,,,,,1,6
,15092,2,,,,,,,,,,,2,
,15100,26,wie 65487,,,20,,6,,,,,,
,15207,48,wie 43337,,,,,,,2,4,14,9,1
,15208,10,,,,,,,,,,,5,5
,15209,3,,,,,,,,,,,,3
,15254,11,wie 12939 und 3307,,,,,,,,,2,,6
,15392,3,in Kiste,,,,,,,,,,,2
,15397,2,,,,2,,,,,,,,
,15460,2,,,,,,,,,,,,2
,15461,13,wie 46189,,11,,,,,,,,,
,15462,1,,,,1,,,,,,,,
,15533,12,,,,,,,,,,2,,10
,15535,8,,,,,,1,,,1,,,3
,15573,473,wie 3794,,45,,,19,,6,3,6,,
,15672,43,wie 92946,,,,,,,2,,,,4
,15712,227,wie 2555 und 12825,,3,,,,,,4,1,,2
,16091,3,wie 30663,,,,,,,,,,,
,16577,8,wie 3308,,,,,,,,,2,,
,17485,4,,,,,,1,,,1,,,
,17715,60,wie 87994,,,,,,,4,,,,
,17836,39,wie 88646,,,,,,,,,,,
,18274,40,wie 63965,,,,,,,,5,,,
,18624,3,wie 4590,,,,,,,,,,,
,18649,4,,,,,,,,,,2,,
,18651,21,ähnlich zu 65249,,,,,,,,,,,
,18653,45,,,,,,,,3,,,,
,18654,22,,,,5,,,,,3,,,8
,18671,9,wie 73562,,,,,,,2,,2,,
,18674,20,,,,1,,,,,17,,,
,18677,33,wie 28809,,,,,,,,,,,
,18747,3,in Kiste,,,,,,,,,,,
,18759,8,wie 2341,,,,,,,,,,,
,18974,2,,,,,,,,,,,,
,19798,3,wie 3940,,,,,,,,,,,
,19952,13,Teil von 73983, wie 2429,,,,,,,,,1,,
,19953,13,Teil von 73983, wie 2430,,,,,,,,,1,,
,20105,1,in Kiste,,,,,,,,,,,
,20482,10,,,,,,,,5,,,,1
,21462,15,wie 30374,,1,,,4,,,,,,
,21712,113,wie 44728 und 92411,,3,,,,,8,31,1,,14
,22385,2,,,,,,,,,,,,2
,22885,18,,,,,,,,,,,,
,22888,2,,,,,,,,,1,,,1
,22890,6,,,,,,,,,,,3,1
,22961,10,,,,,,,,,,,,
,23443,12,,,,,,,,,4,,,
,23893,73,wie 87580,,,,,,,21,,13,,
,23969,3,,,,,,,,3,,,,
,24201,200,,,,,,12,,1,160,1,,
,24246,65,,,,35,,,,1,11,,1,11
,24299,7,,,,,,1,,,,,,6
,24307,12,,,,,,1,,,,1,,10
,24309,66,,,,,,,,,,,,
,24316,6,,,,6,,,,,,,,
,24866,84,,,,,,,,,,,,84
,25269,314,,,1,,,8,,6,194,81,1,16
,26047,40,,,,,10,16,,,4,1,1,6
,26169,115,wie 4865,,2,,,,,9,4,25,26,10
,26287,1,,,,,,1,,,,,,
,26599,4,,,,,,,,,,,,
,26601,115,,,,8,,5,,,43,12,,42
,26603,7,,,,7,,,,,,,,
,26604,7,,,,3,,,,,,,,
,27261,19,,,,,6,6,,,,1,6,
,27263,22,,,,,,,,1,4,1,,1
,27507,34,,,,,,,,,1,1,,
,27925,69,,,,,,,,,52,11,,6
,28192,23,,,,18,,,,,,,,5
,28326,5,,,,4,,1,,,,,,
