,Designnummer,Anzahl,,,von K�fer,Lego bestellt
,75c16,1,wie 85532,,,
,75c20,6,wie 60677,,,
,650,4,,,,
,702,4,,,,
,753,2,,,,
,772,19,wie 3245,,,
,962,4,,,,
,2339,17,wie 14395 und 76768,,,
,2341,8,wie 18759,,,
,2356,1,,,,
,2357,58,,,14,
,2376,2,wie 74698,,,
,2377,2,wie 60032,,,
,2412,675,,,54,
,2419,20,,,,
,2420,166,,,89,18
,2429,12,"Teil von 73983, wie 19952",,,
,2430,12,"Teil von 73983, wie 19953",,,
,2431,167,,,3,
,2432,12,,,,
,2436,17,wie 10201 und 28802,,,
,2444,37,wie 10247,,,
,2445,30,,,,
,2449,4,,,,
,2450,22,,,,
,2454,13,,,,
,2456,22,wie 44237,,1,
,2458,15,wie 44865,,,
,2460,11,,,,
,2462,9,,,,
,2465,9,,,1,
,2476,23,,,,
,2540,77,,,2,
,2555,220,wie 15712 und 12825,,3,
,2566,4,,,,
,2639,10,,,,
,2653,8,,,4,
,2654,62,,,2,
,2723,2,,,,
,2730,9,,,6,
,2736,3,,,,
,2780,360,"wie 61332 und 4459, �hnlich zu 3673",,128,
,2817,17,,,,
,2819,1,,,,
,2825,10,,,,
,2852,1,,,,
,2853,8,,,,
,2877,64,,,,
,2905,2,,,,
,2921,68,wie 28917,,4,
,2926,2,,,,
,3001,402,2 T�ten,,49,
,3002,162,,,2,
,3003,273,,,27,
,3004,549,,,93,
,3005,594,,,37,
,3006,12,wie 92538,,,
,3007,22,,,1,
,3008,128,,,17,
,3009,218,,,30,
,3010,288,,,60,
,3020,294,,,91,
,3021,275,,,7,
,3022,219,,,93,
,3023,767,,,141,
,3024,338,,,176,
,3027,9,,,,
,3028,7,,,2,3
,3029,15,,,1,
,3030,15,,,7,
,3031,48,,,,
,3032,47,,,1,
,3033,13,,,8,
,3034,85,,,12,
,3035,64,,,12,
,3036,18,,,2,
,3037,183,,,,
,3038,36,,,,
,3039,207,,,6,
,3040,121,,,21,
,3041,22,,,,
,3042,2,,,,
,3043,16,,,,
,3044,7,,,,
,3045,29,,,,
,3046,43,,,,
,3048,20,,,,
,3049,8,,,,
,3062,157,,,14,
,3063,45,�hnlich zu 85080,,,
,3068,146,,,5,
,3069,410,,,53,
,3070,336,,,4,
,3149,3,,,,
,3176,14,,,,
,3183,7,,,,
,3184,4,,,,
,3185,51,,,,
,3188,1,,,,
,3190,2,,,,
,3191,2,,,,
,3192,3,,,,
,3193,3,,,,
,3245,19,wie 772,,,
,3297,17,,,,
,3298,24,,,,
,3299,7,,,,
,3300,2,,,,
,3307,3,wie 15254 und 12939,,,
,3308,6,wie 16577,,,
,3315,2,,,,
,3324,1,,,,
,3404,7,,,,
,3455,12,wie 92950,,,
,3456,5,,,,
,3460,108,,,11,
,3579,1,,,,
,3597,1,,,,
,3622,128,,,17,
,3623,186,,,9,
,3633,43,,,,
,3647,13,,,,
,3651,8,,,,
,3659,5,,,,
,3660,104,,,11,
,3665,104,,,,
,3666,296,,,84,
,3673,52,"�hnlich zu 2780, 4459 und 61332",,12,
,3675,4,,,,
,3676,10,,,,
,3678,2,,,,2
,3679,13,in 3680,,,
,3680,13,mit 3679,,,
,3684,39,wie 98560,,,
,3685,26,,,,
,3700,55,,,3,
,3701,46,,,3,
,3702,18,,,,
,3703,38,,,3,
,3704,2,,,,
,3705,23,,,3,
,3706,8,,,,
,3707,9,,,,
,3708,4,,,,
,3709,42,,,6,
,3710,315,,,139,
,3713,70,wie 42798,,12,
,3736,1,,,,
,3737,5,,,,
,3738,6,,,2,
,3743,6,,,2,
,3747,39,,,8,
,3749,34,"wie 6562, �hnlich zu 43093",,1,
,3787,2,,,,
,3788,8,,,,
,3794,439,wie 15573,,45,
,3795,101,,,6,
,3830,7,,,,
,3832,38,,,2,
,3839,17,,,,
,3846,2,wie 90228,,,
,3849,4,,,,
,3853,17,,,,
,3854,30,,,,
,3856,4,,,,
,3894,28,,,2,
,3895,22,,,6,
,3935,2,,,,
,3936,2,,,,
,3937,27,,,5,
,3938,22,,,,
,3940,3,wie 19798,,,
,3941,36,wie 6143,,1,
,3942,18,wie 14918,,2,
,3956,14,,,,
,3957,6,,,,
,3958,24,,,5,
,3959,3,,,,
,3960,6,,,,
,4032,71,,,,
,4070,107,,,44,
,4081,37,,,,
,4083,4,,,,
,4085,86,wie 60897,,11,
,4130,1,,,,
,4132,16,wie 60598,,,
,4133,8,,,,
,4150,14,,,1,
,4162,83,,,2,
,4175,3,,,,
,4185,67,,,1,
,4213,2,,,,
,4216,8,,,,
,4274,144,,,18,
,4275,2,,,,
,4282,31,,,9,
,4285,7,,,,
,4286,32,,,,
,4287,21,,,2,
,4315,2,,,,
,4349,2,,,,
,4445,13,,,,
,4459,360,"wie 61332 und 2780, �hnlich zu 3673",,128,
,4460,21,,,4,
,4477,64,,,13,
,4488,5,wie 67688,,,
,4490,4,,,,
,4510,28,,,,
,4519,53,,,4,
,4588,13,,,,
,4589,138,wie 59900,,24,
,4590,3,wie 18624,,,
,4595,10,,,,
,4596,1,,,,
,4599,38,,,1,
,4600,3,wie 67687,,,
,4623,32,wie 88072,,2,
,4625,1,,,,
,4697,16,,,,
,4716,1,,,,
,4733,22,,,6,
,4735,13,,,1,
,4740,36,,,3,
,4854,2,,,,
,4863,18,wie 61345,,,
,4865,41,wie 26169,,2,
,4871,14,,,,
,6003,10,,,,
,6005,17,,,,
,6019,27,wie 61252,,7,
,6020,1,,,,
,6081,2,,,,
,6091,55,wie 32807,,,
,6106,15,,,,
,6108,1,,,,
,6111,12,,,,
,6112,10,,,1,
,6134,20,,,2,
,6141,512,,,202,
,6143,36,wie 3941,,1,
,6154,2,,,,
,6178,2,,,,
,6179,70,,,,
,6180,30,,,,
,6182,4,,,,
,6183,1,,,,
,6190,20,,,,
,6191,2,,,,
,6192,4,,,,4
,6215,1,,,,
,6222,3,,,,
,6231,15,,,,
,6232,36,,,,
,6233,15,,,,
,6536,29,,,,
,6541,67,,,21,
,6553,5,,,,
,6556,4,,,,
,6558,118,"wie 42924, �hnlich zu 32556",,16,
,6562,34,"wie 3749, �hnlich zu 43093",,1,
,6564,1,,,,
,6565,1,,,,
,6587,14,wie 13670,,2,
,6628,14,wie 66906,,,
,6629,9,,,,
,6632,17,,,,
,6636,116,,,1,
,9244,1,,,,
,10197,3,,,,
,10201,17,wie 2436 und 28802,,,
,10247,37,wie 2444,,,
,10314,1,,,,
,11090,7,,,,
,11153,48,,,,
,11203,11,,,,
,11211,18,,,,
,11212,44,,,,
,11213,2,,,,
,11214,9,,,,8
,11215,7,,,,
,11458,35,,,,
,11476,6,,,2,
,11477,22,,,,
,11833,2,,,,1
,12825,220,wie 15712 und 2555,,3,
,12939,3,wie 15254 und 3307,,,
,13547,2,,,,2
,13670,14,wie 6587,,2,
,13731,7,wie 85970,,,
,13971,4,,,,
,14301,4,,,,4
,14395,17,wie 76768 und 2339,,,
,14417,1,,,,
,14418,2,,,,
,14682,1,wie 40620 und 65571,,,
,14704,1,,,,
,14716,1,,,,
,14718,2,,,,2
,14719,15,,,,
,14720,4,,,,
,14769,6,,,3,
,14918,18,wie 3942,,2,
,15068,12,,,1,4
,15100,20,wie 65487,,,20
,15207,18,wie 43337,,,
,15254,3,wie 12939 und 3307,,,
,15392,1,in Kiste,,,
,15397,2,,,,2
,15461,13,wie 46189,,11,
,15462,1,,,,1
,15535,3,,,,
,15573,439,wie 3794,,45,
,15672,37,wie 92946,,,
,15712,220,wie 2555 und 12825,,3,
,16091,3,wie 30663,,,
,16577,6,wie 3308,,,
,17485,2,,,,
,17715,56,wie 87994,,,
,17836,39,wie 88646,,,
,18274,35,wie 63965,,,
,18624,3,wie 4590,,,
,18649,2,,,,
,18651,21,�hnlich zu 65249,,,
,18653,42,,,,
,18654,11,,,,5
,18671,5,wie 73562,,,
,18674,3,,,,1
,18677,33,wie 28809,,,
,18747,3,in Kiste,,,
,18759,8,wie 2341,,,
,18974,2,,,,
,19798,3,wie 3940,,,
,19952,12,"Teil von 73983, wie 2429",,,
,19953,12,"Teil von 73983, wie 2430",,,
,20105,1,in Kiste,,,
,20482,4,,,,
,21462,11,wie 30374,,1,
,21712,59,wie 44728 und 92411,,3,
,22885,18,,,,
,22890,2,,,,
,22961,10,,,,
,23443,8,,,,
,23893,39,wie 87580,,,
,24201,26,,,,
,24246,41,,,,35
,24309,66,,,,
,24316,6,,,,6
,25269,8,,,1,
,26047,2,,,,
,26169,41,wie 4865,,2,
,26599,4,,,,
,26601,13,,,,8
,26603,7,,,,7
,26604,7,,,,3
,27263,15,,,,
,27507,32,,,,
,28192,18,,,,18
,28326,4,,,,4
,28802,17,wie 2436 und 10201,,,
,28809,33,wie 18677,,,
,28917,68,wie 2921 ,,4,
,28973,19,wie 32555,,,
,28974,14,wie 42446,,,
,29219,44,wie 62462,,,
,30000,27,,,,
,30031,10,,,,
,30044,8,,,,
,30136,53,,,,
,30137,7,,,,
,30157,4,,,,
,30162,35,,,,
,30165,12,,,,
,30228,2,,,,
,30229,5,,,,
,30236,3,,,,
,30237,4,,,,
,30285,1,,,,
,30355,13,,,,
,30356,11,,,,
,30357,3,,,,
,30359,2,,,,
,30361,1,,,,1
,30363,13,,,,
,30364,13,,,,
,30365,34,wie 54671,,,
,30367,9,,,,
,30373,3,,,,
,30374,11,wie 21462,,1,
,30377,45,in Kiste,,,
,30382,2,,,,
,30383,32,,,2,
,30387,2,wie 54661,,,
,30388,4,wie 53914,,,
,30390,1,,,,
,30414,22,,,,
,30503,17,,,,
,30504,2,,,,
,30526,1,,,,
,30541,8,,,,
,30552,3,,,,
,30553,23,wie 57360,,1,
,30554,14,wie 54662,,,
,30565,33,,,,
,30586,10,,,,
,30602,8,,,,
,30663,3,wie 16091,,,
,31493,35,wie 32064,,4,
,31959,1,wie 91501,,,
,32000,54,,,,
,32001,12,,,,
,32002,15,,,2,
,32007,3,,,,
,32009,7,,,,
,32013,22,,,,
,32014,13,,,,
,32016,5,,,,
,32018,12,,,3,
,32028,212,,,,
,32034,6,,,,
,32039,25,wie 42135,,,
,32054,104,wie 65304,,67,
,32056,3,,,,
,32059,5,,,,
,32062,60,,,3,
,32063,2,,,,
,32064,35,wie 31493,,4,
,32065,1,,,,
,32068,2,,,,
,32069,2,,,,
,32072,3,,,,
,32073,23,,,,
,32123,51,,,9,
,32124,1,,,,
,32126,1,,,,
,32138,3,wie 65098,,,
,32140,22,,,,
,32184,13,,,,
,32187,2,,,,
,32192,12,,,,
,32209,6,wie 59426,,,
,32249,6,,,,
,32250,6,,,,
,32270,6,,,,
,32271,6,,,,
,32278,4,wie 64871,,,1
,32291,9,,,,
,32316,24,,,,
,32324,4,,,,
,32348,6,,,,
,32449,18,,,,
,32523,44,,,5,
,32524,16,,,,
,32525,18,wie 64290,,,13
,32526,12,,,,
,32530,26,,,,
,32531,10,,,,
,32532,8,,,,
,32555,19,wie 28973,,,
,32556,20,,,7,
,32557,8,,,,
,32803,2,,,,2
,32807,55,wie 6091,,,
,32828,4,,,,
,33243,8,,,,8
,33299,4,wie 61408,,,
,33303,22,,,,
,33909,23,,,,22
,34103,4,,,,4
,34446,2,wie 50990,,,
,35186,3,,,,3
,35480,24,,,,24
,35787,1,,,,1
,36840,4,,,,4
,36841,4,,,,4
,37352,8,,,,8
,39790,2,,,,2
,40490,14,wie 64289,,,
,40620,1,wie 14682 und 65571,,,
,41239,8,,,,
,41532,4,wie 57697,,1,
,41539,9,,,,
,41677,16,,,,
,41678,15,wie 69819,,,
,41682,8,,,,8
,41740,34,wie 92593,,,
,41747,2,,,,
,41748,2,,,,
,41749,1,,,,
,41750,1,,,,
,41767,4,,,,
,41768,4,,,,
,41769,56,,,13,
,41770,44,,,1,
,41854,2,,,,
,41862,6,,,,
,42003,22,,,,
,42021,1,,,,
,42023,16,,,,
,42060,2,,,,
,42061,2,,,,
,42135,25,wie 32039,,1,
,42445,3,wie 99784,,,
,42446,14,wie 28974,,,
,42610,13,,,1,
,42798,70,wie 3713,,12,
,42924,118,"wie 6558, �hnlich zu 32556",,16,
,43045,4,wie 98286,,,
,43093,120,�hnlich zu 3749 und 6562,,20,
,43337,18,wie 15207,,,
,43710,4,,,,
,43711,4,,,,
,43712,1,,,,
,43713,5,,,,
,43719,7,,,,
,43720,5,,,,
,43721,5,,,,
,43722,48,,,,
,43723,53,,,,
,43857,6,,,,
,43898,4,,,,
,44126,5,,,,
,44237,22,wie 2456,,1,
,44294,8,,,3,
,44300,2,,,,
,44301,19,,,6,
,44302,15,wie 54657,,9,
,44374,2,,,,
,44375,1,wie 45729,,,
,44567,24,,,,
,44568,8,,,,
,44570,10,wie 50337,,,
,44728,59,wie 21712 und 92411,,3,
,44809,1,,,,
,44822,1,wie 95120,,,
,44861,22,wie 92280,,,
,44865,15,wie 2458,,,
,44874,3,wie 87082,,,
,45301,3,,,,
,45590,7,,,,
,45677,5,,,,
,45729,1,wie 44375,,,
,46189,13,wie 15461,,11,
,47397,13,,,,
,47398,13,,,,
,47456,3,,,,
,47457,6,,,,
,47753,1,,,,
,47905,71,,,,
,48092,40,,,,
,48336,53,,,4,
,48723,2,wie 68888,,,
,48729,9,,,,
,48933,6,,,,
,48989,13,wie 65489,,6,
,49311,1,,,,1
,49668,30,,,,
,50304,11,,,,
,50305,12,,,,
,50337,10,wie 44570,,,
,50340,19,wie 60471,,1,
,50745,10,,,,
,50950,38,,,4,
,50956,1,,,,
,50967,2,,,,
,50990,2,wie 34446,,,
,51266,6,,,,
,51739,11,,,,
,52107,20,,,,
,52501,6,,,,
,53586,2,,,,2
,53914,4,wie 30388,,,
,54200,988,,,78,
,54383,42,,,,
,54384,42,,,,
,54657,15,wie 44302,,9,
,54661,2,wie 30387,,,
,54662,14,wie 30554,,,
,54671,34,wie 30365,,,
,55013,10,,,4,
,55982,1,,,,
,57360,23,wie 30553,,1,
,57519,2,,,,
,57697,4,wie 41532,,1,
,59349,3,,,,
,59426,6,wie 32209,,,
,59443,23,,,,
,59900,138,wie 4589,,24,
,60032,2,wie 2377,,,
,60208,8,,,,
,60219,1,,,,
,60470,43,,,,
,60471,19,wie 50340,,1,
,60474,44,,,,
,60475,15,,,,
,60476,6,,,,
,60477,6,,,,
,60478,73,,,2,
,60479,10,,,,
,60481,16,,,,
,60483,15,wie 74695,,,
,60484,4,,,,
,60485,2,,,,
,60581,5,,,,
,60592,48,,,,
,60593,28,,,,
,60598,16,wie 4132,,,
,60677,6,wie 75c20,,,
,60849,26,,,,
,60897,86,wie 4085,,11,
,61184,40,,,,
,61252,27,wie 6019,,7,
,61332,360,"wie 2780 und 4459, �hnlich zu 3673",,128,
,61345,18,wie 4863,,,
,61408,4,wie 33299,,,
,61409,114,,,,
,61485,3,,,,
,61903,3,,,,
,62462,44,wie 29219,,,
,63864,55,,,,
,63868,95,,,,
,63869,1,,,,
,63965,35,wie 18274,,,
,64179,2,,,,
,64289,14,wie 40490,,,
,64290,18,wie 32525,,,13
,64567,36,in Kiste,,,
,64644,14,,,,
,64799,1,,,,1
,64871,4,wie 32278,,,1
,65098,3,wie 32138,,,
,65304,104,wie 32054,,67,
,65487,20,wie 15100,,,20
,65489,13,wie 48989,,6,
,65571,1,wie 14682 und 40620,,,
,66906,14,wie 6628,,,
,67687,3,wie 4600,,,
,67688,5,wie 4488,,,
,68325,2,,,,2
,68888,2,wie 48723,,,
,69729,10,,,,10
,69819,15,wie 41678,,,
,72132,1,wie 87609,,,
,72454,10,,,,
,73194,2,,,,
,73562,5,wie 18671,,,
,73983,12,zusammengesetzt aus 19953 und 19952 oder 2430 und 2429,,,
,74695,15,wie 60483,,,
,74698,2,wie 2376,,,
,75535,3,,,,
,75902,1,,,,1
,76768,17,wie 14395 und 2339,,,
,85080,5,�hnlich zu 3063,,,
,85532,1,wie 75c16,,,
,85861,22,,,,19
,85943,4,,,,
,85970,7,wie 13731,,,
,85984,72,,,,
,86208,2,,,,
,87079,48,,,,
,87081,3,,,,
,87082,3,wie 44874,,,
,87083,8,,,,
,87087,157,,,9,
,87544,12,,,,
,87552,48,,,,
,87580,39,wie 23893,,,
,87609,1,wie 72132,,,
,87618,12,,,,
,87620,4,,,,
,87994,56,wie 17715,,,
,88072,32,wie 4623,,2,
,88292,4,,,,
,88293,8,,,,
,88646,39,wie 17836,,,
,88930,12,,,,8
,90202,1,,,,
,90228,2,wie 3846,,,
,90498,3,,,,
,91501,1,wie 31959,,,
,91988,6,,,,
,92099,3,,,,
,92280,22,wie 44861,,,
,92411,59,wie 21712 und 44728,,3,
,92538,12,wie 3006,,,
,92582,18,,,,
,92593,34,wie 41740,,,
,92690,2,,,,1
,92946,37,wie 15672,,,
,92947,35,,,,
,92950,12,wie 3455,,,
,93273,12,,,,
,93274,4,,,,
,93606,16,,,,
,95120,1,wie 44822,,,
,98138,1259,,,1212,
,98263,1,,,,
,98286,4,wie 43045,,,
,98397,3,,,,
,98560,39,wie 3684,,,
,98585,1,,,,
,99206,19,,,,
,99207,17,,,,
,99563,70,,,,
,99780,63,,,,
,99781,16,,,,11
,99784,3,wie 42445,,,